"Filename","Title","Author","Subject","Keywords","Producer","Creator","CreationDate","ModDate","NumPages"
"DR--100004018.pdf",null,null,null,null,"Corel PDF Engine Version 11.4.0.100","PrintServer130","D:20070629090420-04'00'","D:20121030145321-04'00'",30
"DR--100021078.pdf",null,null,null,null,"Adobe PDF Library 11.0","ToolBox","D:20160229155408-05'00'","D:20180319131534-04'00'",104
"DR--100067082.pdf",null,null,null,null,null,null,"D:20180319140400+01'00'","D:20180419111409+02'00'",59
"DR--100074151.pdf","Otras Preguntas","La Oficina del Contralor de la Moneda",null,null,"Acrobat Distiller 9.0.0 (Windows)","PScript5.dll Version 5.2.2","D:20100715122636-04'00'","D:20140514175034-04'00'",28
"DR--100177824.pdf",null,null,null,null,"Microsoft® Word 2010","Microsoft® Word 2010","D:20160120153947+13'00'","D:20160120153947+13'00'",39
"DR--100180754.pdf",null,null,null,null,"Corel PDF Engine Version 17.0.0.314","PrintServer170","D:20150512164614Z","D:20150512164614Z",13
"DR--100184983.pdf","Microsoft Word - NR_Protocol_2.17.16 FR kdo.docx","SBlagojevic",null,null,"Acrobat Distiller 11.0 (Windows)","Word","D:20180130143346-08'00'","D:20180130143620-08'00'",10
"DR--100260354.pdf",null,null,null,null,"Adobe PDF Library 15.0","Adobe InDesign CC 13.1 (Macintosh)","D:20181017162744-04'00'","D:20181017162800-04'00'",12
"DR--100281428.pdf","May 2017 Panel Discussion","Grace",null,null,"Microsoft® Word 2016","Microsoft® Word 2016","D:20170510170753-04'00'","D:20170510170753-04'00'",12
"DR--100283100.pdf","The Nutrition Services Program Outcomes Evaluation: Effects on Participants’ Health Care Utilization","Mathematica Policy Research",null,null,"Adobe PDF Library 19.8.103","Acrobat PDFMaker 19 for PowerPoint","D:20181212114352-05'00'","D:20181218102711-05'00'",41
"DR--100337890.pdf","2014 Chief FOIA Officer Report - Committee For Purchase From People Who Are Blind or Severely Disabled (CPPBSD 2)","btalebian",null,null,"Microsoft® Word 2010","Microsoft® Word 2010","D:20140313094037-06'00'","D:20140313094037-06'00'",15
"DR--100340889.pdf",null,"dhondgea",null,null,"Acrobat Distiller 11.0 (Windows)","PScript5.dll Version 5.2.2","D:20180227130847Z","D:20180227130959Z",585
"DR--100346213.pdf","ABILITYONE PROGRAM  ANNUAL REPORT 2013",null,null,null,"Adobe PDF Library 9.0","Adobe InDesign CS4 (6.0.6)","D:20140310161811-05'00'","D:20140324092530-07'00'",19
"DR--100364311.pdf","NORS Table 2 Complaint Codes","ACL",null,null,null,null,"D:20180227140542-05'00'","D:20180906130924-04'00'",21
"DR--100409285.pdf","MD-715 Report FY2016 Final","Thomas Vinh Middleton",null,null,"Microsoft® Word 2010","Microsoft® Word 2010","D:20170828002009-04'00'","D:20170828010124-04'00'",52
"DR--100444537.pdf","Evaluation of the Effect of the Older Americans Act Title III-C Nutrition Services Program on Participants' Food Security, Socialization, and Diet Quality","James Mabli, Elizabeth Gearan, Rhoda Cohen, Katherine Niland, Nicholas Redel, Erin Panzarella, Barbara Carlson",null,null,"Adobe PDF Library 11.0","Acrobat PDFMaker 11 for Word","D:20170607082957-04'00'","D:20170608114551-04'00'",210
"DR--100562912.pdf","BEP In$ite FY 15 MD-715 Report -revised","andrewsr",null,null,"Microsoft® Word 2010","Microsoft® Word 2010","D:20160616225937-04'00'","D:20160617091743-04'00'",41
"DR--100573606.pdf","2018-2023:Long-Range Plan for the National Institute on Disability, Independent Living, and Rehabilitation Research","Brannon, Ruth (ACL)",null,null,"Adobe PDF Library 19.8.103","Acrobat PDFMaker 19 for Word","D:20181207105128-05'00'","D:20190117135606-05'00'",23
"DR--100600901.pdf",null,"Boucher, Cynthia (NIH/NCATS) [E]",null,null,"Microsoft® Word 2013","Microsoft® Word 2013","D:20171204235003Z","D:20171204162031Z",27
"DR--10066266.pdf",null,null,null,null,"Corel PDF Engine Version 11.4.0.100","PrintServer130","D:20080408091745-04'00'","D:20120402162848-04'00'",11
"DR--100679958.pdf",null,null,null,null,"Corel PDF Engine Version 1.14.0.755","PrintServer140","D:20120131195921Z","D:20121030142413-04'00'",10
"DR--100683248.pdf",null,"Bushnell, Cloe",null,null,"Microsoft® Excel® 2010","Microsoft® Excel® 2010","D:20120907150942-04'00'","D:20120907150942-04'00'",13
"DR--100713824.pdf","Protocol Summary","Daniel G. Connor",null,null,"Microsoft® Word 2016","Microsoft® Word 2016","D:20180625185238-04'00'","D:20180625185238-04'00'",16
"DR--100718974.pdf","RFI - JG Final Approach Edits Round 2 (Kenneth's changes 2016-04-22)","James Greco",null,null,"Mac OS X 10.11.4 Quartz PDFContext","Word","D:20160422204543Z","D:20160422180904-04'00'",14
"DR--100794705.pdf",null,"MMulholland",null,null,"Acrobat Distiller 17.0 (Windows)","PScript5.dll Version 5.2.2","D:20170608171715-04'00'","D:20170609073941-04'00'",25
"DR--100877578.pdf","IPA OW Reply Comment 2013_FINAL_b","Cynthia Turner",null,null,"Mac OS X 10.6.8 Quartz PDFContext","Microsoft Word","D:20130307205442Z","D:20130314155857-04'00'",21
"DR--100883361.pdf","Chronic Disease Self-Management Program (CDSMP) Process Evaluation","Cynthia Woodcock; Holly Korda; Erkan Erdem; Sarah Pedersen; Michelle Kloc; Erik Tollefson",null,null,"Adobe PDF Library 9.0","Acrobat PDFMaker 9.0 for Word","D:20130517065724+05'30'","D:20130530102701+05'30'",110
"DR--10096900.pdf","CONSOLIDATION COAL V. SOL (MSHA)     (79050069)","Unknown",null,null,"Acrobat PDFWriter 3.02 for Windows","Microsoft Word ","Friday, December 10, 1999 11:02:17 AM","D:20000427171005-04'00'",10
"DR--101025460.pdf","PR-2 ","pbriscoe",null,null,"Acrobat Distiller 7.0.5 (Windows)","Acrobat PDFMaker 7.0.7 for Word","D:20070201114711-05'00'","D:20111025115559-04'00'",28
"DR--101066778.pdf",null,"情報通信課",null,null,"Adobe PDF Library 11.0","Acrobat PDFMaker 11 for Word","D:20160122102453+13'00'","D:20160122102458+13'00'",20
"DR--101082921.pdf",null,null,null,null,"Adobe PDF Library 10.0.1","Adobe InDesign CS6 (Macintosh)","D:20161014134725-04'00'","D:20161014134746-04'00'",154
"DR--101083421.pdf","National Family Caregiver Support Program Process Evaluation","The Lewin Group; ACL",null,null,"iTextSharp 4.0.3 (based on iText 2.0.2)","CommonLook Office GlobalAccess-2.0.0.20","D:20160815105418-04'00'","D:20160826161722-04'00'",69
"DR--101093058.pdf",null,null,null,null,"Corel PDF Engine Version 11.4.0.100","PrintServer130","D:20090811154740-04'00'","D:20121030083046-04'00'",10
"DR--101115767.pdf",null,null,null,null,"Corel PDF Engine Version 16.0.0.429","PrintServer160","D:20140425115319Z","D:20140425115319Z",11
"DR--101267699.pdf",null,null,null,null,"Adobe PDF Library 15.0","Adobe InDesign CC 13.1 (Macintosh)","D:20181017102919-04'00'","D:20181017102927-04'00'",96
"DR--101275729.pdf","printmgr file",null,null,null,"Acrobat Distiller 8.1.0 (Windows)",null,"D:20190123185327-05'00'","D:20190124092612-05'00'",38
"DR--101311000.pdf","Exhibit cover pages (6747382).DOCX","psb",null,null,"DocsCorp PDF","DocsCorp PDF","D:20150327174409-04'00'","D:20150327174409-04'00'",32
"DR--101333475.pdf","FY2014 Solicitation Template","Blue, Kellie",null,null,"Adobe PDF Library 11.0","Acrobat PDFMaker 11 for Word","D:20190130090953-05'00'","D:20190130091000-05'00'",31
